Yeary,Monthy,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2017,8,28,22:27:31,4.4,39.5428,75.2437,10,"SOUTHERN XINJIANG, CHINA",10397931,1503959251
2017,8,18,08:10:01,4.2,38.4544,73.3353,136.7,TAJIKISTAN-XINJIANG BORDER REG.,10394015,1503043801
2017,8,15,22:49:42,4.7,38.214,74.0272,10,TAJIKISTAN-XINJIANG BORDER REG.,10393048,1502837382
2017,8,12,04:14:27,4.3,39.6066,74.587,36.5,"SOUTHERN XINJIANG, CHINA",10401065,1502511267
2017,8,3,00:14:59,4.7,39.7077,73.9444,43.6,TAJIKISTAN-XINJIANG BORDER REG.,10387333,1501719299
2017,7,30,03:12:35,4.2,39.2113,74.2266,10,"SOUTHERN XINJIANG, CHINA",10281529,1501384355
2017,7,16,21:13:10,4.1,39.6149,73.4495,10,TAJIKISTAN-XINJIANG BORDER REG.,10276351,1500239590
2017,7,10,22:05:39,4,39.0119,75.276,48.6,"SOUTHERN XINJIANG, CHINA",10273909,1499724339
2017,6,29,23:07:16,4.2,39.5444,73.4153,10,TAJIKISTAN-XINJIANG BORDER REG.,10270180,1498777636
2017,6,29,21:45:31,4.1,39.4748,73.3632,10,TAJIKISTAN-XINJIANG BORDER REG.,10270148,1498772731
2017,6,26,00:39:47,4,39.5189,73.5158,10,TAJIKISTAN-XINJIANG BORDER REG.,10230376,1498437587
2017,6,21,19:41:09,4.7,38.3993,73.3754,123.4,TAJIKISTAN-XINJIANG BORDER REG.,10228950,1498074069
2017,6,4,01:24:47,4,38.4064,73.8797,144,TAJIKISTAN-XINJIANG BORDER REG.,10270169,1496539487
2017,5,22,09:23:09,4.9,39.4399,73.5297,10,TAJIKISTAN-XINJIANG BORDER REG.,10159801,1495444989
2017,5,10,22:00:58,5,37.5941,75.4207,10,TAJIKISTAN-XINJIANG BORDER REG.,10155955,1494453658
2017,5,10,21:58:21,5.4,37.6438,75.3063,8.1,TAJIKISTAN-XINJIANG BORDER REG.,10155941,1494453501
2017,5,6,17:57:06,4.2,36.7713,73.9818,77.3,NORTHWESTERN KASHMIR,10154771,1494093426
2017,4,25,14:33:46,4.3,37.437,75.5363,95.8,TAJIKISTAN-XINJIANG BORDER REG.,10100780,1493130826
2017,3,14,11:07:11,5.1,39.2694,73.4711,10,TAJIKISTAN-XINJIANG BORDER REG.,10040587,1489489631
2017,3,6,02:44:00,4.4,37.0511,73.5041,90.3,TAJIKISTAN,10006583,1488768240
2017,2,4,22:26:55,4.2,39.5132,73.5147,10,TAJIKISTAN-XINJIANG BORDER REG.,9998325,1486247215
